Jogador,Poder (M),Time,Status,Tropa
LION King,84.3,Nenhum,Nenhum,Míssil
Din the dispatcher,76.0,Nenhum,Nenhum,Míssil
kittën,46.6,Nenhum,Nenhum,Aeronave
BIGAV,39.1,Nenhum,Nenhum,Tanque
Woopii,45.07,Nenhum,Nenhum,Aeronave
Ejump84,49.9,Nenhum,Nenhum,Aeronave
Dv007,60.1,Nenhum,Nenhum,Aeronave
Mateo,48.86,Nenhum,Nenhum,Aeronave
SerdarBaba16,51.3,Nenhum,Nenhum,Aeronave
T3DDYOWNSURBOOTE,42.48,Nenhum,Nenhum,Tanque
ザイダンAli,42.6,Nenhum,Nenhum,Tanque
yachine,43.76,Nenhum,Nenhum,Aeronave
D12,60.0,Nenhum,Nenhum,Aeronave
XPHOENIXX,54.5,Nenhum,Nenhum,Míssil
Orchid Beautiful,34.62,Nenhum,Nenhum,Tanque
Woodzy,43.5,Nenhum,Nenhum,Aeronave
DJ123THEE,52.73,Nenhum,Nenhum,Tanque
Professor PAIN,43.0,Nenhum,Nenhum,Tanque
KHOZA X HIMURA,46.0,Nenhum,Nenhum,Tanque
iRuşh,55.65,Nenhum,Nenhum,Aeronave
RealHardEddie,43.52,Nenhum,Nenhum,Tanque
LIVI,52.14,Nenhum,Nenhum,Aeronave
KiffMelmANinja,49.9,Nenhum,Nenhum,Tanque
BK Sweden,42.92,Nenhum,Nenhum,Tanque
MrNobodyx,50.1,Nenhum,Nenhum,Aeronave
Optimus PrimE,47.8,Nenhum,Nenhum,Aeronave
Midgarfex,53.0,Nenhum,Nenhum,Aeronave
Holess,46.3,Nenhum,Nenhum,Aeronave
dóg,46.2,Nenhum,Nenhum,Aeronave
BBruno,53.0,Nenhum,Nenhum,Míssil
AussieZombie,42.0,Nenhum,Nenhum,Tanque
SHARE,40.0,Nenhum,Nenhum,Aeronave
Belavista2008,44.2,Nenhum,Nenhum,Tanque
stella dn,42.9,Nenhum,Nenhum,Tanque
MEEKZ,54.0,Nenhum,Nenhum,Aeronave
Seruduk,44.9,Nenhum,Nenhum,Tanque
Ayhan53,37.3,Nenhum,Nenhum,Tanque
Gor Dnepr,45.5,Nenhum,Nenhum,Tanque
koramocha,40.7,Nenhum,Nenhum,Tanque
amanyad 1,41.64,Nenhum,Nenhum,Tanque
mikehoncho3,43.4,Nenhum,Nenhum,Tanque
Archangel Manny,41.46,Nenhum,Nenhum,Aeronave
GA JUDY,41.21,Nenhum,Nenhum,Tanque
NikolaZi,45.91,Nenhum,Nenhum,Tanque
Shaka valkyrie,47.68,Nenhum,Nenhum,Tanque
Prince Arthas,68.0,Nenhum,Nenhum,Míssil
HaaaggaaannBin Laden,37.9,Nenhum,Nenhum,Tanque
psykovich,44.6,Nenhum,Nenhum,Aeronave
TheRealReptar,53.93,Nenhum,Nenhum,Tanque
MURDA12,41.9,Nenhum,Nenhum,Tanque
denisdam12,33.8,Nenhum,Nenhum,Tanque
JeffSM,36.6,Nenhum,Nenhum,Aeronave
HeatSeeker,38.37,Nenhum,Nenhum,Tanque
Zedicus Zul Zoranda,47.34,Nenhum,Nenhum,Tanque
Marcuini,45.41,Nenhum,Nenhum,Tanque
Volk,33.26,Nenhum,Nenhum,Tanque
Trixxie7,33.58,Nenhum,Nenhum,Tanque
OG DGS,34.68,Nenhum,Nenhum,Tanque
Asi Kizzz,37.06,Nenhum,Nenhum,Tanque
Warriors call,39.04,Nenhum,Nenhum,Tanque
NusretS,40.45,Nenhum,Nenhum,Tanque
Newfound Freddy,41.12,Nenhum,Nenhum,Tanque
ojolocomoco,39.6,Nenhum,Nenhum,Aeronave
Chxpper,37.22,Nenhum,Nenhum,Tanque
Bunji57,39.7,Nenhum,Nenhum,Aeronave
KingMorkReaper,37.0,Nenhum,Nenhum,Tanque
Kurtkevin,44.0,Nenhum,Nenhum,Aeronave
KasTauYra,34.4,Nenhum,Nenhum,Tanque
RimMeDotCom,35.46,Nenhum,Nenhum,Tanque
Lord of Despatchers,48.0,Nenhum,Nenhum,Tanque
Straypher,40.19,Nenhum,Nenhum,Tanque
Kindasweet,34.07,Nenhum,Nenhum,Tanque
TheBrod,39.6,Nenhum,Nenhum,Aeronave
Vovlo,40.45,Nenhum,Nenhum,Aeronave
CaSSpeR KING,44.3,Nenhum,Nenhum,Tanque
xGS1905,38.0,Nenhum,Nenhum,Tanque
TITOO,48.7,Nenhum,Nenhum,Aeronave
jeromedusud,31.87,Nenhum,Nenhum,Tanque
Lunkiball,41.0,Nenhum,Nenhum,Tanque
dtcsmd,38.11,Nenhum,Nenhum,Tanque
Hangover84,35.56,Nenhum,Nenhum,Tanque
zdzisio phe,39.72,Nenhum,Nenhum,Aeronave
Doxyss,31.0,Nenhum,Nenhum,Tanque
uptonOgood,36.94,Nenhum,Nenhum,Tanque
TerraSirenum,27.87,Nenhum,Nenhum,Tanque
ChelieKIA,33.09,Nenhum,Nenhum,Tanque
TooWEAK,35.04,Nenhum,Nenhum,Tanque
Asadullah 1,33.4,Nenhum,Nenhum,Tanque
الصليبي,40.0,Nenhum,Nenhum,Tanque
NNNTTT,46.86,Nenhum,Nenhum,Tanque
HotAsianMike,35.67,Nenhum,Nenhum,Tanque
Chaos Everywhere,38.0,Nenhum,Nenhum,Aeronave
DidiWarrior,41.52,Nenhum,Nenhum,Tanque
Dark TabascoDeng,47.04,Nenhum,Nenhum,Tanque
Hobbit UA,41.0,Nenhum,Nenhum,Tanque
TITO,53.0,Nenhum,Nenhum,Míssil
Bruno,48.7,Nenhum,Nenhum,Aeronave
LacErdA,59.8,Nenhum,Nenhum,Míssil
